event_id,user_id,conversation_id,source_turn_id,event_time,event_content,emotions_json,viewpoint,branch_id,parent_event_id,branch_origin_event_id,persona_id,persona_name,created_at
event_017,demo_user,conv_entrepreneur_01,turn_017,2026-04-23T09:00:00,产品发布失败,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.78, ""score"": 0.6}]",创业实践让我明白：产品发布失败需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_016,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_018,demo_user,conv_entrepreneur_01,turn_018,2026-05-07T09:00:00,访谈十位潜在用户,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.53, ""score"": 0.6}]",创业实践让我明白：访谈十位潜在用户需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_017,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_019,demo_user,conv_entrepreneur_01,turn_019,2026-05-21T09:00:00,获得第一批真实用户,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.61, ""score"": 0.5}, {""code"": ""anger"", ""label"": ""愤怒"", ""intensity"": 0.78, ""score"": 0.0}]",创业实践让我明白：获得第一批真实用户需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_018,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_020,demo_user,conv_entrepreneur_01,turn_020,2026-06-04T09:00:00,重新定义核心问题,"[{""code"": ""confusion"", ""label"": ""迷茫"", ""intensity"": 0.86, ""score"": 0.42}]",创业实践让我明白：重新定义核心问题需要耐心，也需要诚实面对反馈。,entrepreneur_01,event_019,event_002,entrepreneur,创业者的我,2026-07-23T20:00:00
event_021,demo_user,conv_researcher_01,turn_021,2026-03-06T09:00:00,进入实验室,"[{""code"": ""confusion"", ""label"": ""迷茫"", ""intensity"": 0.52, ""score"": 0.42}, {""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.87, ""score"": 0.12}]",研究过程让我认识到：进入实验室需要耐心，也需要诚实面对反馈。,researcher_01,event_003,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_022,demo_user,conv_researcher_01,turn_022,2026-03-20T09:00:00,学习设计严谨的实验,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.66, ""score"": 1.0}]",研究过程让我认识到：学习设计严谨的实验需要耐心，也需要诚实面对反馈。,researcher_01,event_021,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_023,demo_user,conv_researcher_01,turn_023,2026-04-03T09:00:00,完成第一次独立实验,"[{""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.66, ""score"": 0.12}]",研究过程让我认识到：完成第一次独立实验需要耐心，也需要诚实面对反馈。,researcher_01,event_022,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_024,demo_user,conv_researcher_01,turn_024,2026-04-17T09:00:00,实验结果不符合预期,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.63, ""score"": 0.5}, {""code"": ""anger"", ""label"": ""愤怒"", ""intensity"": 0.56, ""score"": 0.0}]",研究过程让我认识到：实验结果不符合预期需要耐心，也需要诚实面对反馈。,researcher_01,event_023,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_025,demo_user,conv_researcher_01,turn_025,2026-05-01T09:00:00,重新检查研究假设,"[{""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.87, ""score"": 0.12}]",研究过程让我认识到：重新检查研究假设需要耐心，也需要诚实面对反馈。,researcher_01,event_024,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_026,demo_user,conv_researcher_01,turn_026,2026-05-15T09:00:00,投稿第一篇论文,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.51, ""score"": 0.6}]",研究过程让我认识到：投稿第一篇论文需要耐心，也需要诚实面对反馈。,researcher_01,event_025,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_027,demo_user,conv_researcher_01,turn_027,2026-05-29T09:00:00,收到论文拒稿,"[{""code"": ""calm"", ""label"": ""平静"", ""intensity"": 0.87, ""score"": 0.6}, {""code"": ""satisfaction"", ""label"": ""满足"", ""intensity"": 0.66, ""score"": 0.78}]",研究过程让我认识到：收到论文拒稿需要耐心，也需要诚实面对反馈。,researcher_01,event_026,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_028,demo_user,conv_researcher_01,turn_028,2026-06-12T09:00:00,根据意见完成新实验,"[{""code"": ""optimism"", ""label"": ""乐观"", ""intensity"": 0.77, ""score"": 0.9}]",研究过程让我认识到：根据意见完成新实验需要耐心，也需要诚实面对反馈。,researcher_01,event_027,event_003,researcher,研究者的我,2026-07-23T20:00:00
event_029,demo_user,conv_global_life_01,turn_029,2026-03-14T09:00:00,开始海外学习,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.9, ""score"": 0.5}, {""code"": ""confusion"", ""label"": ""迷茫"", ""intensity"": 0.76, ""score"": 0.42}]",海外生活让我体会到：开始海外学习需要耐心，也需要诚实面对反馈。,global_life_01,event_006,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_030,demo_user,conv_global_life_01,turn_030,2026-03-28T09:00:00,独自寻找新的住处,"[{""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.75, ""score"": 0.25}]",海外生活让我体会到：独自寻找新的住处需要耐心，也需要诚实面对反馈。,global_life_01,event_029,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_031,demo_user,conv_global_life_01,turn_031,2026-04-11T09:00:00,适应陌生的生活环境,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.66, ""score"": 1.0}]",海外生活让我体会到：适应陌生的生活环境需要耐心，也需要诚实面对反馈。,global_life_01,event_030,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_032,demo_user,conv_global_life_01,turn_032,2026-04-25T09:00:00,第一次用外语完成公开表达,"[{""code"": ""surprise"", ""label"": ""惊讶"", ""intensity"": 0.77, ""score"": 0.5}, {""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.87, ""score"": 0.25}]",海外生活让我体会到：第一次用外语完成公开表达需要耐心，也需要诚实面对反馈。,global_life_01,event_031,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_033,demo_user,conv_global_life_01,turn_033,2026-05-09T09:00:00,经历一段孤独时期,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.53, ""score"": 1.0}]",海外生活让我体会到：经历一段孤独时期需要耐心，也需要诚实面对反馈。,global_life_01,event_032,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_034,demo_user,conv_global_life_01,turn_034,2026-05-23T09:00:00,建立新的朋友关系,"[{""code"": ""sadness"", ""label"": ""悲伤"", ""intensity"": 0.59, ""score"": 0.12}]",海外生活让我体会到：建立新的朋友关系需要耐心，也需要诚实面对反馈。,global_life_01,event_033,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_035,demo_user,conv_global_life_01,turn_035,2026-06-06T09:00:00,重新思考稳定与自由,"[{""code"": ""optimism"", ""label"": ""乐观"", ""intensity"": 0.51, ""score"": 0.9}, {""code"": ""anxiety"", ""label"": ""焦虑"", ""intensity"": 0.47, ""score"": 0.25}]",海外生活让我体会到：重新思考稳定与自由需要耐心，也需要诚实面对反馈。,global_life_01,event_034,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
event_036,demo_user,conv_global_life_01,turn_036,2026-06-20T09:00:00,找到属于自己的日常节奏,"[{""code"": ""joy"", ""label"": ""喜悦"", ""intensity"": 0.47, ""score"": 1.0}]",海外生活让我体会到：找到属于自己的日常节奏需要耐心，也需要诚实面对反馈。,global_life_01,event_035,event_006,global_life,在海外生活的我,2026-07-23T20:00:00
